,,Ruzicka
ADJD,VAFIN.ind,0.010810810810810811
ADJS,VVINF,0.010786802030456852
DDA,DIART,0.010752688172043012
VAFIN.ind,VAINF,0.010752688172043012
PTKG,VMFIN.*,0.010752688172043012
ADJD,VAFIN.*,0.0106951871657754
FM,OA,0.010687022900763359
DRELS,VMFIN.ind,0.010526315789473684
PTKVZ,VMINF,0.010526315789473684
FM,PAVAP,0.010526315789473684
VVINF,VVPS,0.010443864229765013
NA,OA,0.010433244916003536
ADJA,ADJA<VVPP,0.010423452768729642
PTKA,VAFIN.*,0.010416666666666666
AVD,DIN,0.010309278350515464
VKPS,VVPS,0.010309278350515464
VKINF,VMFIN.*,0.010309278350515464
DDS,PTKNEG,0.01020408163265306
DPOSA,VMINF,0.01020408163265306
ADJS,CARDA,0.010178117048346057
CARDA,KOUS,0.010169491525423728
ADJS,CARDS,0.010169491525423728
DDS,DIS,0.010101010101010102
DRELS,VAFIN.ind,0.010101010101010102
AVREL,DDA,0.010101010101010102
VKFIN.ind,VVFIN.konj,0.009933774834437087
ADJV,PTKA,0.009933774834437087
PAVAP,PI,0.009933774834437087
ADJA,PI,0.009925558312655087
AVD,CARDA,0.009857612267250822
PI,PRF,0.009852216748768473
ADJN,VVFIN.ind,0.009825327510917031
VMFIN.*,VVINF,0.00980392156862745
DDS,DIN,0.00980392156862745
AVD,VVFIN.ind,0.009771986970684038
DRELA,OA,0.00975609756097561
KON,VMFIN.*,0.00975609756097561
PTKVZ,VMFIN.konj,0.009708737864077669
APPR,VVFIN.konj,0.009689922480620155
DIS,OA,0.009685230024213076
OA,VMFIN.konj,0.00966183574879227
CARDA,DRELS,0.009615384615384616
DDS,PRF,0.009615384615384616
ADJS,PI,0.009569377990430622
DPOSA,PAVAP,0.009569377990430622
KOKOM,PI,0.009569377990430622
DIS,DPOSA,0.009523809523809525
DIA,KOKOM,0.009523809523809525
ADJS,NA,0.009452826758771132
PG,VVFIN.konj,0.009433962264150943
DDS,DPOSS,0.009433962264150943
DIART,OA,0.009433962264150943
OA,PTKN,0.00936768149882904
PRF,PTKVZ,0.009345794392523364
